bio6,bio11,bio12,bio13,bio2,bio3,bio4,bio5,bio14,bio15,label,fold,decimalLongitude,decimalLatitude
0.64575,7.620625,933.0,209.0,10.492583,45.0969,484.857,23.9125,7.0,96.20995,1,1,102.17,27.4
-6.85175,0.17329164,578.0,163.0,11.365146,29.831148,1013.5292,31.2465,3.0,106.27292,1,0,113.85,36.01
-1.60775,3.58275,822.0,151.0,8.803625,28.810266,821.9968,28.9495,6.0,73.867,1,2,107.54,33.22
0.2135,5.3705,1226.0,275.0,8.182646,30.736694,675.75146,26.83525,15.0,89.255394,1,3,103.27,29.23
2.14125,7.058417,1692.0,263.0,7.7889795,27.967358,722.31555,29.9915,37.0,53.856186,1,3,119.938731,27.561804
-4.51825,1.6687084,686.0,186.0,10.078,28.13296,999.0006,31.3045,14.0,92.92298,1,3,116.947285,34.188731
-4.7365003,1.749625,750.0,195.0,9.921104,28.157558,972.9229,30.49775,17.0,96.89723,1,4,118.350692,34.29166
7.68475,11.9175415,1374.0,259.0,7.1408124,28.033142,671.0105,33.1575,35.0,59.757366,1,0,119.306406,26.076106
1.2165,5.9389167,1411.0,242.0,7.798583,26.09029,805.58136,31.10725,27.0,60.92137,1,3,110.163925,29.399721
1.54025,7.007583,1694.0,307.0,8.692229,29.14777,754.3952,31.3615,37.0,56.111755,1,2,119.141815,28.074413
4.776,10.381875,1708.0,299.0,8.372104,31.308119,663.9286,31.517,37.0,61.44314,1,3,114.530131,24.742369
2.3205,7.3875833,1520.0,236.0,8.144396,27.269335,784.1514,32.187,43.0,50.82045,1,0,114.514242,26.32496
3.85975,9.693875,1587.0,257.0,9.131875,31.162024,723.57385,33.16425,41.0,57.4062,1,4,116.027126,25.885558
2.737,8.149583,1785.0,329.0,8.620791,27.569992,820.45776,34.00575,51.0,62.218693,1,1,117.245492,28.292516
-3.53775,2.8226666,786.0,151.0,10.3272705,30.859915,873.69476,29.92725,8.0,70.670876,1,3,110.881801,33.530994
-1.1685,4.7294164,937.0,162.0,9.640625,29.108826,878.98035,31.95075,13.0,64.47081,1,2,111.195824,32.605886
3.30325,7.886625,1495.0,256.0,7.2183957,25.064528,791.6223,32.1025,47.0,54.414345,1,4,111.009947,25.897942
-2.39,2.6647916,1042.0,179.0,8.4504795,28.081446,795.6584,27.70275,12.0,66.802086,1,0,108.9,32.3
0.61875,5.7055416,1318.0,188.0,8.196771,25.616112,872.28644,32.61725,43.0,43.741566,1,4,120.17,30.27
0.49125,5.32825,1576.0,290.0,7.716604,24.848387,867.01276,31.546,37.0,55.005245,1,1,117.027537,30.096685
-1.30925,3.8251667,1035.0,175.0,8.233645,25.212885,925.2151,31.34725,26.0,55.185818,1,1,119.174162,31.92228
0.61575,5.3398333,1363.0,245.0,7.5926876,24.464327,881.74286,31.6515,33.0,52.303383,1,3,117.824786,30.923782
-1.5245,3.7665,1164.0,205.0,8.454145,27.617548,815.1657,29.087,18.0,64.67547,1,2,110.783718,31.331599
-1.4449999,3.6380002,985.0,202.0,8.2405,25.339012,927.6065,31.076,34.0,63.72519,1,4,119.911834,32.359944
-2.9214635,1.9634959,786.0,191.0,7.1654873,22.426334,935.2152,29.029757,14.0,88.69399,1,3,119.506767,34.608663
4.656,9.510375,1821.0,350.0,7.8508754,28.191881,745.1677,32.504,48.0,67.26882,1,2,110.050532,25.255089
-1.7135,4.0029583,1082.0,202.0,8.862646,26.915022,901.1406,31.21475,19.0,60.046173,1,0,114.08,32.1
-5.61525,0.90675,696.0,202.0,10.617937,28.930132,1011.2084,31.08675,11.0,101.994934,1,2,117.16,35.08
1.2045,8.768916,928.0,187.0,11.009292,47.42778,451.25037,24.41725,13.0,83.45911,1,0,102.700013,25.012526
-0.928,4.2710834,1044.0,206.0,8.283667,25.419573,921.6256,31.65975,28.0,59.11077,1,1,118.797741,32.055645
1.59375,6.2332916,1642.0,290.0,7.4154167,27.261309,741.3443,28.795,46.0,60.014942,1,2,110.040007,25.742153
-1.74025,3.4557083,939.0,219.0,8.107834,25.031324,923.22815,30.6505,29.0,72.03414,1,1,119.507314,32.84545
-2.64,2.9694583,885.0,219.0,8.670313,26.239088,930.8215,30.4035,24.0,77.964584,1,1,119.43159,33.214195
-1.26675,3.77225,1017.0,213.0,8.398541,25.434134,939.5369,31.754,29.0,64.831345,1,1,119.413201,32.394476
1.681,6.6599584,1536.0,277.0,7.648062,24.296146,869.9248,33.1595,42.0,58.989788,1,0,116.104041,28.965815
1.5075,6.6325417,1652.0,291.0,8.15752,26.371155,828.37646,32.440998,42.0,55.875004,1,0,118.511281,28.901327
3.37025,7.8550835,1366.0,220.0,7.2461457,24.334913,821.7678,33.147,47.0,49.88975,1,4,111.631136,26.221887
2.77975,7.830458,1483.0,241.0,7.920042,28.090235,742.36993,30.97475,39.0,57.688625,1,0,112.948819,25.39996
-6.4025,-1.4580417,719.0,127.0,7.994896,25.886644,845.24365,24.48175,6.0,74.17245,1,0,107.843975,34.15745
1.476,5.6218333,1385.0,219.0,7.104042,24.879759,775.18524,30.0295,23.0,60.395386,1,4,108.687476,29.365795
-2.105,5.6853333,789.0,138.0,11.593145,47.17215,482.6587,22.47125,10.0,64.62699,1,4,100.229945,26.876096
4.2295,9.909125,1096.0,204.0,9.207854,41.013115,511.87497,26.6805,14.0,79.850266,1,3,105.055261,24.046484
-13.84425,-5.1694584,738.0,147.0,12.182187,40.87571,614.24615,15.95875,3.0,86.691765,1,4,102.546111,30.911944
3.6015,8.233125,1586.0,288.0,7.5505204,27.56419,740.1398,30.994,43.0,63.400536,1,2,109.592453,25.635742
-2.80325,3.4772081,1029.0,182.0,10.056,30.43883,851.1868,30.2335,13.0,65.90546,1,2,110.712211,32.144677
-17.05175,-8.5345,673.0,172.0,11.005292,24.017221,1286.2446,28.77075,5.0,100.730156,1,4,123.416408,41.827587
-6.26875,0.20616667,746.0,220.0,10.521895,29.123734,999.21204,29.8595,8.0,105.51367,1,4,117.9675,35.260556
